2025-08-13 22:48:36,351 - TRADE | BUY | 516719 | reaction=9ms | execution=1309ms | total=1318ms | grade=B | roi_v2=29.4%
2025-08-13 22:48:36,352 - TRADE | SELL | 516719 | reaction=9ms | execution=1046ms | total=1055ms | grade=B | roi_v2=55.2%
2025-08-13 22:48:36,352 - TRADE | SELL | 516719 | reaction=9ms | execution=1040ms | total=1049ms | grade=B | roi_v2=55.2%
2025-08-13 22:48:36,352 - TRADE | SELL | 516719 | reaction=9ms | execution=1040ms | total=1049ms | grade=B | roi_v2=55.2%
2025-08-13 22:48:36,352 - TRADE | BUY | 516723 | reaction=8ms | execution=1303ms | total=1311ms | grade=B | roi_v2=34.6%
2025-08-13 22:48:36,352 - TRADE | BUY | 516724 | reaction=7ms | execution=1306ms | total=1313ms | grade=B | roi_v2=33.3%
2025-08-13 22:48:36,352 - TRADE | BUY | 516725 | reaction=6ms | execution=1310ms | total=1316ms | grade=B | roi_v2=32.0%
2025-08-13 22:48:36,352 - TRADE | BUY | 516726 | reaction=5ms | execution=1314ms | total=1318ms | grade=B | roi_v2=30.7%
2025-08-13 22:48:36,352 - TRADE | BUY | 516727 | reaction=3ms | execution=1317ms | total=1320ms | grade=B | roi_v2=29.4%
2025-08-13 22:48:36,352 - TRADE | BUY | 516728 | reaction=2ms | execution=1321ms | total=1323ms | grade=B | roi_v2=28.0%
2025-08-13 22:48:36,352 - TRADE | BUY | 516729 | reaction=1ms | execution=1324ms | total=1326ms | grade=B | roi_v2=26.7%
2025-08-14 01:32:00 - TRADE | SELL | market-1 | reaction=0ms | execution=1276ms | total=1276ms | grade=B | roi_v2=27.0%
2025-08-14 01:32:00 - TRADE | SELL | market-1 | reaction=0ms | execution=1017ms | total=1017ms | grade=B | roi_v2=44.6%
2025-08-14 01:32:00 - TRADE | SELL | market-1 | reaction=0ms | execution=1281ms | total=1281ms | grade=B | roi_v2=27.0%
2025-08-14 01:32:00 - TRADE | SELL | market-1 | reaction=0ms | execution=1280ms | total=1280ms | grade=B | roi_v2=27.9%
2025-08-14 01:32:00 - TRADE | SELL | market-1 | reaction=0ms | execution=1281ms | total=1281ms | grade=B | roi_v2=27.0%
2025-08-14 01:32:00 - TRADE | SELL | market-2 | reaction=0ms | execution=1284ms | total=1284ms | grade=B | roi_v2=27.9%
2025-08-14 01:32:00 - TRADE | SELL | market-2 | reaction=0ms | execution=1278ms | total=1278ms | grade=B | roi_v2=27.9%
2025-08-14 01:32:00 - TRADE | SELL | market-2 | reaction=0ms | execution=1284ms | total=1284ms | grade=B | roi_v2=27.9%
2025-08-14 01:32:00 - TRADE | SELL | market-2 | reaction=0ms | execution=1286ms | total=1286ms | grade=B | roi_v2=27.9%
2025-08-14 01:32:00 - TRADE | SELL | market-2 | reaction=0ms | execution=1283ms | total=1283ms | grade=B | roi_v2=28.8%
2025-08-14 01:32:00 - TRADE | BUY | market-2 | reaction=0ms | execution=1261ms | total=1261ms | grade=B | roi_v2=38.6%
